Bootstrap_Run,Metric,Improvement,Positive_Means
37,MCC,-0.00963951961848275,Higher CatBoost value is better
37,Macro_Specificity,-0.0015602297247560015,Higher CatBoost value is better
37,Macro_AUROC,0.050137164890291075,Higher CatBoost value is better
37,Macro_AUPRC,0.076936185707426,Higher CatBoost value is better
37,Log_Loss,0.01527245674104194,Lower CatBoost value is better
37,Multiclass_Brier_Score,0.012386435645052263,Lower CatBoost value is better
38,Accuracy,0.02083333333333337,Higher CatBoost value is better
38,Balanced_Accuracy,0.02219909197248149,Higher CatBoost value is better
38,Macro_F1,0.023997253299741894,Higher CatBoost value is better
38,MCC,0.025499648763433247,Higher CatBoost value is better
38,Macro_Specificity,0.009662801513395713,Higher CatBoost value is better
38,Macro_AUROC,0.01464407386461375,Higher CatBoost value is better
38,Macro_AUPRC,0.003045377142160799,Higher CatBoost value is better
38,Log_Loss,-0.004598948758517629,Lower CatBoost value is better
38,Multiclass_Brier_Score,-0.0035281852718587192,Lower CatBoost value is better
39,Accuracy,0.029787234042553123,Higher CatBoost value is better
39,Balanced_Accuracy,0.029597555637568385,Higher CatBoost value is better
39,Macro_F1,0.03218018226962249,Higher CatBoost value is better
39,MCC,0.03840384958782328,Higher CatBoost value is better
39,Macro_Specificity,0.012800464003054124,Higher CatBoost value is better
39,Macro_AUROC,0.028088527987141898,Higher CatBoost value is better
39,Macro_AUPRC,0.02223687246967998,Higher CatBoost value is better
39,Log_Loss,-0.0020428163574598424,Lower CatBoost value is better
39,Multiclass_Brier_Score,0.005226183381891181,Lower CatBoost value is better
40,Accuracy,0.013043478260869601,Higher CatBoost value is better
40,Balanced_Accuracy,0.012292038027332142,Higher CatBoost value is better
40,Macro_F1,0.016370437170619034,Higher CatBoost value is better
40,MCC,0.006896869831484187,Higher CatBoost value is better
40,Macro_Specificity,0.002632875969445392,Higher CatBoost value is better
40,Macro_AUROC,0.024604883948172174,Higher CatBoost value is better
40,Macro_AUPRC,0.030779980118198935,Higher CatBoost value is better
40,Log_Loss,-0.0038779669528110627,Lower CatBoost value is better
40,Multiclass_Brier_Score,0.0012044632837957536,Lower CatBoost value is better
41,Accuracy,0.013333333333333308,Higher CatBoost value is better
41,Balanced_Accuracy,0.010752688172043001,Higher CatBoost value is better
41,Macro_F1,0.01584759457172391,Higher CatBoost value is better
41,MCC,0.012315896656166725,Higher CatBoost value is better
41,Macro_Specificity,0.004574042309891446,Higher CatBoost value is better
41,Macro_AUROC,0.03585612669605376,Higher CatBoost value is better
41,Macro_AUPRC,0.05683205540088909,Higher CatBoost value is better
41,Log_Loss,-0.01182826949039617,Lower CatBoost value is better
41,Multiclass_Brier_Score,-0.0023568226586994645,Lower CatBoost value is better
42,Accuracy,0.03555555555555545,Higher CatBoost value is better
42,Balanced_Accuracy,0.035605613482851406,Higher CatBoost value is better
42,Macro_F1,0.037961939373661324,Higher CatBoost value is better
42,MCC,0.04652302917959883,Higher CatBoost value is better
42,Macro_Specificity,0.015596914260172845,Higher CatBoost value is better
42,Macro_AUROC,0.07060467595842068,Higher CatBoost value is better
42,Macro_AUPRC,0.13254799608395773,Higher CatBoost value is better
42,Log_Loss,0.06195071562166121,Lower CatBoost value is better
42,Multiclass_Brier_Score,0.049969498482914154,Lower CatBoost value is better
43,Accuracy,0.04444444444444451,Higher CatBoost value is better
43,Balanced_Accuracy,0.04710560643623518,Higher CatBoost value is better
43,Macro_F1,0.04744028062518091,Higher CatBoost value is better
43,MCC,0.062066750140515214,Higher CatBoost value is better
43,Macro_Specificity,0.02059575117281376,Higher CatBoost value is better
43,Macro_AUROC,0.05260026719300437,Higher CatBoost value is better
43,Macro_AUPRC,0.08364026350893417,Higher CatBoost value is better
43,Log_Loss,0.043905069548358266,Lower CatBoost value is better
43,Multiclass_Brier_Score,0.03874611460187688,Lower CatBoost value is better
44,Accuracy,0.02127659574468077,Higher CatBoost value is better
44,Balanced_Accuracy,0.017845406115954088,Higher CatBoost value is better
44,Macro_F1,0.024487905711209845,Higher CatBoost value is better
44,MCC,0.022858375686958476,Higher CatBoost value is better
44,Macro_Specificity,0.008414832893711255,Higher CatBoost value is better
44,Macro_AUROC,0.049346902117965,Higher CatBoost value is better
44,Macro_AUPRC,0.06605768459814787,Higher CatBoost value is better
44,Log_Loss,0.026909090938183944,Lower CatBoost value is better
44,Multiclass_Brier_Score,0.02447004215202231,Lower CatBoost value is better
45,Accuracy,0.017021276595744705,Higher CatBoost value is better
45,Balanced_Accuracy,0.02223561717232614,Higher CatBoost value is better
45,Macro_F1,0.019347017829421165,Higher CatBoost value is better
45,MCC,0.023035314971353582,Higher CatBoost value is better
45,Macro_Specificity,0.0075174761548819635,Higher CatBoost value is better
45,Macro_AUROC,0.028972779801476833,Higher CatBoost value is better
45,Macro_AUPRC,0.033386115129366734,Higher CatBoost value is better
45,Log_Loss,0.019579084826121584,Lower CatBoost value is better
45,Multiclass_Brier_Score,0.008503861527421164,Lower CatBoost value is better
46,Accuracy,0.017391304347826098,Higher CatBoost value is better
46,Balanced_Accuracy,0.019135012092758696,Higher CatBoost value is better
46,Macro_F1,0.019103163271945944,Higher CatBoost value is better
46,MCC,0.01916094244759392,Higher CatBoost value is better
46,Macro_Specificity,0.005709587807901206,Higher CatBoost value is better
46,Macro_AUROC,0.006007880629994022,Higher CatBoost value is better
46,Macro_AUPRC,-0.011145948542158668,Higher CatBoost value is better
46,Log_Loss,-0.023692675914439465,Lower CatBoost value is better
46,Multiclass_Brier_Score,-0.016189713692141394,Lower CatBoost value is better
47,Accuracy,0.033333333333333326,Higher CatBoost value is better
47,Balanced_Accuracy,0.03640994905603845,Higher CatBoost value is better
47,Macro_F1,0.0335323676187822,Higher CatBoost value is better
47,MCC,0.04335796375992518,Higher CatBoost value is better
47,Macro_Specificity,0.015325091721298256,Higher CatBoost value is better
47,Macro_AUROC,0.0379494882197523,Higher CatBoost value is better
47,Macro_AUPRC,0.04510105861582692,Higher CatBoost value is better
47,Log_Loss,0.024305122613150765,Lower CatBoost value is better
47,Multiclass_Brier_Score,0.023392044501014952,Lower CatBoost value is better
48,Accuracy,0.02083333333333337,Higher CatBoost value is better
48,Balanced_Accuracy,0.02538011695906439,Higher CatBoost value is better
48,Macro_F1,0.022477618882180916,Higher CatBoost value is better
48,MCC,0.02463629266862344,Higher CatBoost value is better
48,Macro_Specificity,0.008986415882967447,Higher CatBoost value is better
48,Macro_AUROC,0.042135405717769414,Higher CatBoost value is better
48,Macro_AUPRC,0.05523852655591022,Higher CatBoost value is better
48,Log_Loss,0.021327112673622972,Lower CatBoost value is better
48,Multiclass_Brier_Score,0.018191199652759116,Lower CatBoost value is better
49,Accuracy,0.03829787234042559,Higher CatBoost value is better
49,Balanced_Accuracy,0.04033526756931005,Higher CatBoost value is better
49,Macro_F1,0.04000579962757622,Higher CatBoost value is better
49,MCC,0.048688185133406114,Higher CatBoost value is better
49,Macro_Specificity,0.016902548715150956,Higher CatBoost value is better
49,Macro_AUROC,0.010646328203915978,Higher CatBoost value is better
