Model,State,Point,False_Positive_Rate,True_Positive_Rate,Threshold,State_AUROC
CatBoost,3,66,0.5314685314685315,0.8586956521739131,0.1371054769239218,0.8166615992702949
CatBoost,3,67,0.5314685314685315,0.8695652173913043,0.1359014791633497,0.8166615992702949
CatBoost,3,68,0.5384615384615384,0.8695652173913043,0.1345212519578967,0.8166615992702949
CatBoost,3,69,0.5384615384615384,0.8804347826086957,0.1340302144371278,0.8166615992702949
CatBoost,3,70,0.6223776223776224,0.8804347826086957,0.1205324189216964,0.8166615992702949
CatBoost,3,71,0.6223776223776224,0.8913043478260869,0.1196929465728114,0.8166615992702949
CatBoost,3,72,0.6713286713286714,0.8913043478260869,0.0958896075304369,0.8166615992702949
CatBoost,3,73,0.6713286713286714,0.9130434782608695,0.0944514579166482,0.8166615992702949
CatBoost,3,74,0.7062937062937062,0.9130434782608695,0.0897394816207039,0.8166615992702949
CatBoost,3,75,0.7062937062937062,0.9347826086956522,0.0873137406644007,0.8166615992702949
CatBoost,3,76,0.7482517482517482,0.9347826086956522,0.0794240695211523,0.8166615992702949
CatBoost,3,77,0.7482517482517482,0.9456521739130435,0.0788030905761841,0.8166615992702949
CatBoost,3,78,0.7692307692307693,0.9456521739130435,0.073663720058234,0.8166615992702949
CatBoost,3,79,0.7692307692307693,0.967391304347826,0.0720646424069762,0.8166615992702949
CatBoost,3,80,0.8251748251748252,0.967391304347826,0.0609506012037317,0.8166615992702949
CatBoost,3,81,0.8251748251748252,0.9891304347826086,0.0529389392775372,0.8166615992702949
CatBoost,3,82,0.8601398601398601,0.9891304347826086,0.0419192512802987,0.8166615992702949
CatBoost,3,83,0.8601398601398601,1.0,0.0414310155327874,0.8166615992702949
CatBoost,3,84,1.0,1.0,0.0084682236165412,0.8166615992702949
Equal Soft Voting,1,1,0.0,0.0,,0.9212499999999999
