Model,State,Threshold,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,State_Prevalence,Interpretation
CatBoost,1,0.79,-0.006889564336372889,-2.2421479229989876,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.8,-0.021276595744680882,-2.4042553191489366,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.81,-0.03673012318029123,-2.5834266517357234,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.8200000000000001,-0.07044917257683221,-2.7825059101654857,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.8300000000000001,-0.07209011264080109,-3.0050062578222794,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.8400000000000001,-0.09468085106382991,-3.255319148936173,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.85,-0.10354609929078011,-3.539007092198581,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.86,-0.13677811550151975,-3.86322188449848,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.87,-0.16824877250409162,-4.2373158756137475,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.88,-0.17588652482269507,-4.673758865248227,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.89,-0.20270793036750487,-5.189555125725339,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.9,-0.2042553191489362,-5.808510638297873,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.91,-0.15508274231678493,-6.565011820330971,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.92,-0.0936170212765958,-7.510638297872346,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.93,-0.10881458966565358,-8.726443768996965,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.9400000000000001,-0.1290780141843973,-10.347517730496463,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.9500000000000001,-0.07659574468085117,-12.617021276595763,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.9600000000000001,0.00425531914893617,-16.021276595744713,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.97,0.00425531914893617,-21.69503546099289,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.98,0.0,-33.04255319148933,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.99,0.0,-67.08510638297867,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,2,0.01,0.2831721470019342,0.28218353750268643,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.02,0.27980894485453756,0.2748588797221016,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.03,0.27685896029831103,0.2673831980697521,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.04,0.2700354609929078,0.25975177304964536,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.05,0.2680851063829787,0.2519596864501679,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.060000000000000005,0.2559529198732458,0.2440018107741059,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.06999999999999999,0.2528940745824754,0.23587279798673072,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.08,0.2506938020351526,0.22756706753006473,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.09,0.2496609773205518,0.21907879354687865,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.09999999999999999,0.2468085106382979,0.21040189125295505,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.11,0.2487210136265838,0.2015300023906287,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.12,0.2470019342359768,0.1924564796905222,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.13,0.2467106872095867,0.18317437026167763,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.14,0.24473033151905,0.17367639782285993,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.15000000000000002,0.24580725907384232,0.16395494367959945,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.16,0.2474164133738602,0.15400202634245183,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.17,0.24609074596257371,0.14380927967187895,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.18000000000000002,0.24058121432278154,0.13336792942397505,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.19,0.23840294194904124,0.12266876805883895,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.2,0.23191489361702128,0.11170212765957444,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.21000000000000002,0.22876380285483436,0.10045785079450573,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.22,0.22356792144026186,0.08892525913802507,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.23,0.2252555954683614,0.0770931196463111,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.24000000000000002,0.22329227323628217,0.06494960806270991,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.25,0.2226950354609929,0.052482269503546064,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.26,0.22219666474985622,0.03967797584818855,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.27,0.2191197901486447,0.02652287962693084,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.28,0.21631205673758863,0.013002364066193761,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.29000000000000004,0.2145639796224153,-0.0008990110878034918,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.3,0.21276595744680848,-0.015197568389057836,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.31,0.2085723095898859,-0.02991057662658042,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.32,0.2067584480600751,-0.04505632040050073,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.33,0.20489044140997142,-0.060654175928866405,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.34,0.2029658284977434,-0.07672469374597046,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.35000000000000003,0.20098199672667758,-0.09328968903436996,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.36000000000000004,0.19893617021276594,-0.11037234042553201,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.37,0.19932455251604186,-0.12799729821006423,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.38,0.19725463280713795,-0.14619080301990395,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.39,0.19511684687826997,-0.1649808161841647,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.4,0.19574468085106383,-0.18439716312056748,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.41000000000000003,0.19358095924990984,-0.20447169130905163,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.42000000000000004,0.1870873074101247,-0.22523844460748366,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.43,0.18798058977230309,-0.24673385591638664,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.44,0.18145896656534954,-0.26899696048632227,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.45,0.17485493230174082,-0.2920696324951644,0.0,0.28936170212765955,One-versus-rest ecological decision utility
