Model,State,Bin,Count,Probability_Minimum,Probability_Maximum,Mean_Predicted_Probability,Observed_Fraction,Absolute_Calibration_Gap
HistGradientBoosting,3,9,23,0.9697525218810532,0.9984806577783056,0.989355472085667,0.9130434782608695,0.07631199382479747
HistGradientBoosting,3,10,24,0.9986254342000604,0.9999999195787096,0.9995858499262167,0.8333333333333334,0.16625251659288331
Seasonal Baseline,1,1,139,0.0454545454545454,0.3636363636363636,0.08665794637017653,0.050359712230215826,0.0362982341399607
Seasonal Baseline,1,2,20,0.5454545454545454,0.5909090909090909,0.5636363636363635,0.6,0.03636363636363649
Seasonal Baseline,1,3,47,0.6363636363636364,0.6818181818181818,0.6692456479690524,0.8723404255319149,0.20309477756286254
Seasonal Baseline,1,4,25,0.7272727272727273,0.7272727272727273,0.7272727272727272,0.6,0.1272727272727272
Seasonal Baseline,1,5,4,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.0,0.7727272727272727
Seasonal Baseline,2,1,118,0.0454545454545454,0.0909090909090909,0.05354391371340519,0.025423728813559324,0.028120184899845864
Seasonal Baseline,2,2,24,0.1363636363636363,0.2727272727272727,0.17045454545454541,0.25,0.07954545454545459
Seasonal Baseline,2,3,33,0.3181818181818182,0.4090909090909091,0.3608815426997245,0.21212121212121213,0.14876033057851237
Seasonal Baseline,2,4,13,0.5909090909090909,0.5909090909090909,0.5909090909090909,1.0,0.40909090909090906
Seasonal Baseline,2,5,26,0.6363636363636364,0.8636363636363636,0.8024475524475524,0.7307692307692307,0.07167832167832167
Seasonal Baseline,2,6,21,0.9090909090909092,0.9090909090909092,0.9090909090909094,0.9523809523809523,0.043290043290042934
Seasonal Baseline,3,1,40,0.0454545454545454,0.0909090909090909,0.0670454545454545,0.025,0.042045454545454504
Seasonal Baseline,3,2,34,0.1818181818181818,0.2272727272727272,0.22192513368983954,0.5588235294117647,0.33689839572192515
Seasonal Baseline,3,3,48,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.125,0.1477272727272727
Seasonal Baseline,3,4,20,0.3181818181818182,0.3181818181818182,0.31818181818181823,0.35,0.031818181818181746
Seasonal Baseline,3,5,33,0.3636363636363636,0.4090909090909091,0.38016528925619836,0.24242424242424243,0.13774104683195593
Seasonal Baseline,3,6,14,0.6363636363636364,0.6363636363636364,0.6363636363636365,1.0,0.36363636363636354
Seasonal Baseline,3,7,24,0.6818181818181818,0.8181818181818182,0.7840909090909092,0.75,0.03409090909090917
Seasonal Baseline,3,8,22,0.8636363636363636,0.9090909090909092,0.8657024793388429,0.8636363636363636,0.0020661157024792765
