Year,Model,Number_of_Months,Accuracy,Balanced_Accuracy,Macro_F1,State_1_Recall,State_2_Recall,State_3_Recall
2019,CatBoost,12,0.9166666666666666,0.9333333333333332,0.8962962962962964,1.0,1.0,0.8
2019,Equal Soft Voting,12,0.9166666666666666,0.9333333333333332,0.8962962962962964,1.0,1.0,0.8
2019,CNN-LSTM,12,0.75,0.7999999999999999,0.7157287157287158,1.0,1.0,0.4
2019,TCN,12,0.6666666666666666,0.7333333333333334,0.6555555555555556,0.8,1.0,0.4
2019,XGBoost,12,0.9166666666666666,0.9333333333333332,0.8962962962962964,1.0,1.0,0.8
2019,HistGradientBoosting,12,0.6666666666666666,0.7333333333333334,0.6722222222222222,0.6,1.0,0.6
2019,Seasonal Baseline,12,0.8333333333333334,0.8666666666666667,0.8055555555555555,1.0,1.0,0.6
2020,CatBoost,12,0.75,0.75,0.7367724867724869,1.0,0.75,0.5
2020,Equal Soft Voting,12,0.75,0.75,0.7367724867724869,1.0,0.75,0.5
2020,CNN-LSTM,12,0.6666666666666666,0.6666666666666666,0.6476190476190476,1.0,0.5,0.5
2020,TCN,12,0.6666666666666666,0.6666666666666666,0.6534391534391534,1.0,0.5,0.5
2020,XGBoost,12,0.4166666666666667,0.4166666666666667,0.40740740740740744,0.25,0.75,0.25
2020,HistGradientBoosting,12,0.75,0.75,0.7367724867724869,1.0,0.75,0.5
2020,Seasonal Baseline,12,0.6666666666666666,0.6666666666666666,0.6476190476190476,1.0,0.5,0.5
2021,CatBoost,12,0.6666666666666666,0.6888888888888888,0.6534391534391534,1.0,0.6666666666666666,0.4
2021,Equal Soft Voting,12,0.6666666666666666,0.6888888888888888,0.6534391534391534,1.0,0.6666666666666666,0.4
2021,CNN-LSTM,12,0.6666666666666666,0.6888888888888888,0.6555555555555556,1.0,0.6666666666666666,0.4
2021,TCN,12,1.0,1.0,1.0,1.0,1.0,1.0
2021,XGBoost,12,0.6666666666666666,0.6888888888888888,0.6534391534391534,1.0,0.6666666666666666,0.4
2021,HistGradientBoosting,12,0.5833333333333334,0.6055555555555555,0.6005291005291006,0.75,0.6666666666666666,0.4
2021,Seasonal Baseline,12,0.6666666666666666,0.6888888888888888,0.6534391534391534,1.0,0.6666666666666666,0.4
2022,CatBoost,12,0.5833333333333334,0.6666666666666666,0.5886243386243386,1.0,0.6666666666666666,0.3333333333333333
2022,Equal Soft Voting,12,0.6666666666666666,0.7777777777777778,0.6666666666666666,1.0,1.0,0.3333333333333333
2022,CNN-LSTM,12,0.75,0.7777777777777777,0.7590909090909091,1.0,0.6666666666666666,0.6666666666666666
2022,TCN,12,0.6666666666666666,0.7222222222222222,0.6722222222222222,1.0,0.6666666666666666,0.5
2022,XGBoost,12,0.5833333333333334,0.6666666666666666,0.5886243386243386,1.0,0.6666666666666666,0.3333333333333333
2022,HistGradientBoosting,12,0.75,0.8333333333333334,0.7579365079365079,1.0,1.0,0.5
2022,Seasonal Baseline,12,0.5833333333333334,0.6666666666666666,0.5886243386243386,1.0,0.6666666666666666,0.3333333333333333
