Model,State,Threshold,TP,FN,FP,TN,Sensitivity,Specificity,Precision,F1,Youden_J,Predicted_Positive_Rate
CatBoost,2,0.34,58,10,20,147,0.8529411764705882,0.8802395209580839,0.7435897435897436,0.7945205479452054,0.7331806974286721,0.33191489361702126
CatBoost,2,0.35000000000000003,58,10,20,147,0.8529411764705882,0.8802395209580839,0.7435897435897436,0.7945205479452054,0.7331806974286721,0.33191489361702126
CatBoost,2,0.36000000000000004,58,10,20,147,0.8529411764705882,0.8802395209580839,0.7435897435897436,0.7945205479452054,0.7331806974286721,0.33191489361702126
CatBoost,2,0.37,58,10,19,148,0.8529411764705882,0.8862275449101796,0.7532467532467533,0.7999999999999999,0.7391687213807678,0.3276595744680851
CatBoost,2,0.38,58,10,19,148,0.8529411764705882,0.8862275449101796,0.7532467532467533,0.7999999999999999,0.7391687213807678,0.3276595744680851
CatBoost,2,0.39,58,10,19,148,0.8529411764705882,0.8862275449101796,0.7532467532467533,0.7999999999999999,0.7391687213807678,0.3276595744680851
CatBoost,2,0.4,58,10,18,149,0.8529411764705882,0.8922155688622755,0.7631578947368421,0.8055555555555555,0.7451567453328636,0.32340425531914896
CatBoost,2,0.41000000000000003,58,10,18,149,0.8529411764705882,0.8922155688622755,0.7631578947368421,0.8055555555555555,0.7451567453328636,0.32340425531914896
CatBoost,2,0.42000000000000004,57,11,18,149,0.8382352941176471,0.8922155688622755,0.76,0.7972027972027973,0.7304508629799225,0.3191489361702128
CatBoost,2,0.43,57,11,17,150,0.8382352941176471,0.8982035928143712,0.7702702702702703,0.8028169014084507,0.7364388869320182,0.3148936170212766
CatBoost,2,0.44,56,12,17,150,0.8235294117647058,0.8982035928143712,0.7671232876712328,0.7943262411347518,0.7217330045790771,0.31063829787234043
CatBoost,2,0.45,55,13,17,150,0.8088235294117647,0.8982035928143712,0.7638888888888888,0.7857142857142858,0.707027122226136,0.30638297872340425
CatBoost,2,0.46,54,14,16,151,0.7941176470588235,0.9041916167664671,0.7714285714285715,0.782608695652174,0.6983092638252906,0.2978723404255319
CatBoost,2,0.47000000000000003,54,14,16,151,0.7941176470588235,0.9041916167664671,0.7714285714285715,0.782608695652174,0.6983092638252906,0.2978723404255319
